send,00000038,1,MSFT,2949.0,330.0,1,NewOrderSingle,20231022-11:07:46.124,38553,,,,,,,,
send,00000039,3,BAC,3039.0,6.0,1,NewOrderSingle,20231022-11:07:46.124,38554,,,,,,,,
send,00000040,1,MSFT,4779.0,386.0,1,NewOrderSingle,20231022-11:07:46.125,38555,,,,,,,,
send,00000041,1,MSFT,3753.0,118.0,1,NewOrderSingle,20231022-11:07:46.125,38556,,,,,,,,
send,00000042,3,BAC,8486.0,16.0,1,NewOrderSingle,20231022-11:07:46.125,38557,,,,,,,,
send,00000043,1,MSFT,,,,OrderCancelRequest,20231022-11:07:46.117,,,,,,,00000023,,
send,00000044,3,AAPL,252.0,106.0,2,NewOrderSingle,20231022-11:07:46.126,38558,,,,,,,,
send,00000045,3,BAC,3313.0,2.0,1,NewOrderSingle,20231022-11:07:46.126,38559,,,,,,,,
send,00000046,3,AAPL,4080.0,180.0,2,NewOrderSingle,20231022-11:07:46.126,,,,,,,,,
send,00000047,2,AAPL,1865.0,212.0,2,NewOrderSingle,20231022-11:07:46.127,38561,,,,,,,,
send,00000048,3,AAPL,3425.0,203.0,2,NewOrderSingle,20231022-11:07:46.127,38562,,,,,,,,
send,00000049,2,MSFT,5474.0,254.0,1,NewOrderSingle,20231022-11:07:46.127,,,,,,,,,
send,00000050,1,MSFT,,,,OrderCancelRequest,20231022-11:07:46.108,,,,,,,00000006,,
send,00000051,1,BAC,758.0,67.0,1,NewOrderSingle,20231022-11:07:46.128,,,,,,,,,
send,00000052,2,BAC,1838.0,20.0,1,NewOrderSingle,20231022-11:07:46.128,38565,,,,,,,,
receive,00000002,2,MSFT,5432.0,108.0,2,,,38517,8,20231022-11:07:46.365,3.0,0,0,,,
send,00000053,3,BAC,8671.0,82.0,1,NewOrderSingle,20231022-11:07:46.129,38566,,,,,,,,
receive,00000003,1,BAC,1102.0,0.0,1,,,38518,8,20231022-11:07:46.365,4.0,0,0,,,
send,00000054,1,MSFT,3306.0,139.0,2,NewOrderSingle,20231022-11:07:46.131,38567,,,,,,,,
receive,00000004,3,BAC,2387.0,42.0,2,,,38519,8,20231022-11:07:46.366,5.0,0,0,,,
send,00000055,3,AAPL,2063.0,270.0,2,NewOrderSingle,20231022-11:07:46.133,38568,,,,,,,,
receive,00000005,2,MSFT,3425.0,0.0,1,,,38520,8,20231022-11:07:46.366,6.0,0,0,,,
send,00000056,2,BAC,7973.0,44.0,2,NewOrderSingle,20231022-11:07:46.135,38569,,,,,,,,
send,00000057,3,AAPL,3025.0,175.0,1,NewOrderSingle,20231022-11:07:46.136,38570,,,,,,,,
receive,00000006,1,MSFT,6444.0,0.0,1,,,38521,8,20231022-11:07:46.367,7.0,0,0,,,
send,00000058,1,AAPL,,,,OrderCancelRequest,20231022-11:07:46.119,,,,,,,00000026,,
send,00000059,1,MSFT,1550.0,260.0,2,NewOrderSingle,20231022-11:07:46.138,,,,,,,,,
receive,00000007,1,BAC,399.0,59.0,2,,,38522,8,20231022-11:07:46.367,8.0,0,0,,,
receive,00000008,3,BAC,7146.0,75.0,2,,,38523,8,20231022-11:07:46.368,9.0,0,0,,,
send,00000060,2,BAC,7006.0,13.0,1,NewOrderSingle,20231022-11:07:46.140,38572,,,,,,,,
receive,00000009,3,MSFT,5680.0,0.0,1,,,38524,8,20231022-11:07:46.369,10.0,0,0,,,
send,00000061,3,MSFT,3482.0,214.0,2,NewOrderSingle,20231022-11:07:46.142,,,,,,,,,
send,00000062,3,MSFT,8044.0,347.0,1,NewOrderSingle,20231022-11:07:46.143,38574,,,,,,,,
receive,00000010,,,,,,Unlucky,,,8,20231022-11:07:46.370,11.0,8,8,,,
send,00000063,3,BAC,3088.0,50.0,2,NewOrderSingle,20231022-11:07:46.144,38575,,,,,,,,
send,00000064,2,MSFT,,,,OrderCancelRequest,20231022-11:07:46.107,38520,,,,,,00000005,,
receive,00000011,,,,,,Unlucky,,,8,20231022-11:07:46.370,12.0,8,8,,,
receive,00000012,1,BAC,7898.0,0.0,1,,,38527,8,20231022-11:07:46.371,13.0,0,0,,,
send,00000065,2,BAC,2302.0,64.0,1,NewOrderSingle,20231022-11:07:46.147,38576,,,,,,,,
receive,00000013,2,BAC,9833.0,0.0,1,,,38528,8,20231022-11:07:46.372,14.0,0,0,,,
send,00000066,1,MSFT,6124.0,363.0,1,NewOrderSingle,20231022-11:07:46.149,38577,,,,,,,,
receive,00000014,2,AAPL,5388.0,152.0,2,,,38529,8,20231022-11:07:46.372,15.0,0,0,,,
send,00000067,1,BAC,8952.0,65.0,1,NewOrderSingle,20231022-11:07:46.151,38578,,,,,,,,
receive,00000015,3,MSFT,4242.0,0.0,1,,,38530,8,20231022-11:07:46.373,16.0,0,0,,,
send,00000068,1,BAC,9306.0,30.0,2,NewOrderSingle,20231022-11:07:46.153,38579,,,,,,,,
send,00000069,1,MSFT,413.0,175.0,2,NewOrderSingle,20231022-11:07:46.154,38580,,,,,,,,
receive,00000016,2,BAC,6367.0,17.0,2,,,38531,8,20231022-11:07:46.373,17.0,0,0,,,
send,00000070,1,AAPL,9629.0,149.0,2,NewOrderSingle,20231022-11:07:46.155,,,,,,,,,
receive,00000017,2,MSFT,749.0,0.0,1,,,38532,8,20231022-11:07:46.374,18.0,0,0,,,
send,00000071,2,BAC,6840.0,56.0,1,NewOrderSingle,20231022-11:07:46.156,38582,,,,,,,,
receive,00000018,1,BAC,3725.0,78.0,2,,,38533,8,20231022-11:07:46.374,19.0,0,0,,,
send,00000072,3,AAPL,2700.0,231.0,2,NewOrderSingle,20231022-11:07:46.159,38583,,,,,,,,
receive,00000019,1,AAPL,5939.0,0.0,1,,,38534,8,20231022-11:07:46.374,20.0,0,0,,,
send,00000073,1,MSFT,9972.0,273.0,2,NewOrderSingle,20231022-11:07:46.161,38584,,,,,,,,
receive,00000020,2,MSFT,7843.0,0.0,1,,,38535,8,20231022-11:07:46.375,21.0,0,0,,,
send,00000074,1,BAC,2535.0,5.0,2,NewOrderSingle,20231022-11:07:46.162,,,,,,,,,
receive,00000021,1,AAPL,2985.0,137.0,2,,,38536,8,20231022-11:07:46.375,22.0,0,0,,,
receive,00000022,3,BAC,9587.0,0.0,1,,,38537,8,20231022-11:07:46.375,23.0,0,0,,,
send,00000075,2,BAC,6586.0,76.0,2,NewOrderSingle,20231022-11:07:46.164,38586,,,,,,,,
receive,00000023,1,MSFT,6536.0,244.0,2,,,38538,8,20231022-11:07:46.376,24.0,0,0,,,
send,00000076,3,AAPL,1972.0,227.0,1,NewOrderSingle,20231022-11:07:46.167,38587,,,,,,,,
receive,00000024,2,AAPL,5521.0,265.0,2,,,38539,8,20231022-11:07:46.376,25.0,0,0,,,
send,00000077,1,MSFT,1871.0,235.0,1,NewOrderSingle,20231022-11:07:46.169,38588,,,,,,,,
receive,00000025,3,BAC,2810.0,40.0,2,,,38540,8,20231022-11:07:46.376,26.0,0,0,,,
send,00000078,1,AAPL,9297.0,178.0,2,NewOrderSingle,20231022-11:07:46.171,38589,,,,,,,,
receive,00000026,1,AAPL,1550.0,277.0,2,,,38541,8,20231022-11:07:46.377,27.0,0,0,,,
send,00000079,1,AAPL,8508.0,275.0,2,NewOrderSingle,20231022-11:07:46.173,38590,,,,,,,,
receive,00000027,1,MSFT,8387.0,0.0,1,,,38542,8,20231022-11:07:46.377,28.0,0,0,,,
send,00000080,1,MSFT,1813.0,349.0,2,NewOrderSingle,20231022-11:07:46.175,38591,,,,,,,,
receive,00000028,1,BAC,3357.0,62.0,2,,,38543,8,20231022-11:07:46.377,29.0,0,0,,,
send,00000081,2,AAPL,9092.0,261.0,1,NewOrderSingle,20231022-11:07:46.176,38592,,,,,,,,
receive,00000029,3,AAPL,6666.0,0.0,1,,,38544,8,20231022-11:07:46.377,30.0,0,0,,,
send,00000082,2,MSFT,728.0,212.0,2,NewOrderSingle,20231022-11:07:46.178,38593,,,,,,,,
send,00000083,2,AAPL,8382.0,222.0,1,NewOrderSingle,20231022-11:07:46.181,38594,,,,,,,,
receive,00000030,1,AAPL,8005.0,0.0,1,,,38545,8,20231022-11:07:46.378,31.0,0,0,,,
send,00000084,1,MSFT,3450.0,154.0,1,NewOrderSingle,20231022-11:07:46.183,38595,,,,,,,,
receive,00000031,3,AAPL,9466.0,188.0,2,,,38546,8,20231022-11:07:46.378,32.0,0,0,,,
send,00000085,3,AAPL,4377.0,128.0,1,NewOrderSingle,20231022-11:07:46.184,,,,,,,,,
send,00000086,3,MSFT,1848.0,207.0,1,NewOrderSingle,20231022-11:07:46.186,38597,,,,,,,,
receive,00000032,1,MSFT,7981.0,0.0,1,,,38547,8,20231022-11:07:46.379,33.0,0,0,,,
send,00000087,3,MSFT,,,,OrderCancelRequest,20231022-11:07:46.143,,,,,,,00000062,,
send,00000088,2,BAC,9375.0,30.0,1,NewOrderSingle,20231022-11:07:46.189,38598,,,,,,,,
receive,00000033,1,BAC,7290.0,54.0,2,,,38548,8,20231022-11:07:46.379,34.0,0,0,,,
send,00000089,2,AAPL,6558.0,107.0,2,NewOrderSingle,20231022-11:07:46.190,38599,,,,,,,,
send,00000090,1,AAPL,4409.0,205.0,1,NewOrderSingle,20231022-11:07:46.192,38600,,,,,,,,
receive,00000034,2,AAPL,8479.0,0.0,1,,,38549,8,20231022-11:07:46.379,35.0,0,0,,,
send,00000091,2,AAPL,6164.0,223.0,2,NewOrderSingle,20231022-11:07:46.193,38601,,,,,,,,
receive,00000035,2,MSFT,6364.0,0.0,1,,,38550,8,20231022-11:07:46.379,36.0,0,0,,,
send,00000092,1,MSFT,7823.0,195.0,1,NewOrderSingle,20231022-11:07:46.195,38602,,,,,,,,
send,00000093,2,AAPL,7135.0,173.0,2,NewOrderSingle,20231022-11:07:46.196,38603,,,,,,,,
receive,00000036,2,MSFT,8595.0,285.0,2,,,38551,8,20231022-11:07:46.379,37.0,0,0,,,
send,00000094,3,MSFT,5348.0,232.0,1,NewOrderSingle,20231022-11:07:46.198,38604,,,,,,,,
receive,00000037,2,MSFT,5713.0,341.0,2,,,38552,8,20231022-11:07:46.380,38.0,0,0,,,
send,00000095,1,MSFT,3847.0,326.0,2,NewOrderSingle,20231022-11:07:46.199,38605,,,,,,,,
receive,00000038,1,MSFT,2949.0,0.0,1,,,38553,8,20231022-11:07:46.380,39.0,0,0,,,
send,00000096,1,BAC,5161.0,87.0,1,NewOrderSingle,20231022-11:07:46.201,38606,,,,,,,,
receive,00000039,3,BAC,3039.0,0.0,1,,,38554,8,20231022-11:07:46.380,40.0,0,0,,,
send,00000097,2,BAC,7310.0,53.0,1,NewOrderSingle,20231022-11:07:46.204,38607,,,,,,,,
receive,00000040,1,MSFT,4779.0,0.0,1,,,38555,8,20231022-11:07:46.381,41.0,0,0,,,
send,00000098,1,MSFT,2837.0,301.0,2,NewOrderSingle,20231022-11:07:46.206,38608,,,,,,,,
receive,00000041,1,MSFT,3753.0,0.0,1,,,38556,8,20231022-11:07:46.381,42.0,0,0,,,
send,00000099,1,AAPL,,,,OrderCancelRequest,20231022-11:07:46.104,38516,,,,,,00000001,,
receive,00000042,3,BAC,8486.0,0.0,1,,,38557,8,20231022-11:07:46.381,43.0,0,0,,,
send,00000100,1,BAC,3721.0,89.0,1,NewOrderSingle,20231022-11:07:46.209,38609,,,,,,,,
receive,00000043,,,,,,Unknown order id,,NONE,9,20231022-11:07:46.381,44.0,8,,00000023,,
send,00000101,1,MSFT,7721.0,366.0,2,NewOrderSingle,20231022-11:07:46.210,38610,,,,,,,,
receive,00000044,3,AAPL,252.0,106.0,2,,,38558,8,20231022-11:07:46.381,45.0,0,0,,,
send,00000102,1,BAC,6675.0,73.0,2,NewOrderSingle,20231022-11:07:46.212,38611,,,,,,,,
receive,00000045,3,BAC,3313.0,0.0,1,,,38559,8,20231022-11:07:46.384,46.0,0,0,,,
send,00000103,1,AAPL,2005.0,176.0,1,NewOrderSingle,20231022-11:07:46.214,38612,,,,,,,,
receive,00000046,,,,,,Unlucky,,,8,20231022-11:07:46.384,47.0,8,8,,,
send,00000104,3,AAPL,3400.0,176.0,2,NewOrderSingle,20231022-11:07:46.216,38613,,,,,,,,
receive,00000047,2,AAPL,1865.0,212.0,2,,,38561,8,20231022-11:07:46.384,48.0,0,0,,,
send,00000105,1,MSFT,9893.0,228.0,2,NewOrderSingle,20231022-11:07:46.218,38614,,,,,,,,
send,00000106,2,BAC,,,,OrderCancelRequest,20231022-11:07:46.204,,,,,,,00000097,,
receive,00000048,3,AAPL,3425.0,203.0,2,,,38562,8,20231022-11:07:46.384,49.0,0,0,,,
receive,00000049,,,,,,Unlucky,,,8,20231022-11:07:46.385,50.0,8,8,,,
send,00000107,1,AAPL,5400.0,111.0,2,NewOrderSingle,20231022-11:07:46.221,38615,,,,,,,,
receive,00000050,,,,,,Unknown order id,,NONE,9,20231022-11:07:46.385,51.0,8,,00000006,,
send,00000108,2,MSFT,7119.0,186.0,1,NewOrderSingle,20231022-11:07:46.224,38616,,,,,,,,
receive,00000051,,,,,,Unlucky,,,8,20231022-11:07:46.385,52.0,8,8,,,
send,00000109,3,AAPL,236.0,252.0,1,NewOrderSingle,20231022-11:07:46.224,38617,,,,,,,,
send,00000110,3,BAC,6695.0,12.0,1,NewOrderSingle,20231022-11:07:46.226,38618,,,,,,,,
receive,00000052,2,BAC,1838.0,0.0,1,,,38565,8,20231022-11:07:46.385,53.0,0,0,,,
send,00000111,2,MSFT,1170.0,359.0,2,NewOrderSingle,20231022-11:07:46.226,38619,,,,,,,,
receive,00000053,3,BAC,8671.0,0.0,1,,,38566,8,20231022-11:07:46.395,54.0,0,0,,,
send,00000112,3,MSFT,9647.0,118.0,1,NewOrderSingle,20231022-11:07:46.228,38620,,,,,,,,
receive,00000054,1,MSFT,3306.0,139.0,2,,,38567,8,20231022-11:07:46.396,55.0,0,0,,,
send,00000113,2,AAPL,6571.0,200.0,1,NewOrderSingle,20231022-11:07:46.230,38621,,,,,,,,
receive,00000055,3,AAPL,2063.0,270.0,2,,,38568,8,20231022-11:07:46.396,56.0,0,0,,,
send,00000114,1,MSFT,9075.0,282.0,1,NewOrderSingle,20231022-11:07:46.233,38622,,,,,,,,
receive,00000056,2,BAC,7973.0,44.0,2,,,38569,8,20231022-11:07:46.397,57.0,0,0,,,
send,00000115,1,BAC,6910.0,49.0,2,NewOrderSingle,20231022-11:07:46.234,38623,,,,,,,,
receive,00000057,3,AAPL,3025.0,0.0,1,,,38570,8,20231022-11:07:46.397,58.0,0,0,,,
send,00000116,3,MSFT,2552.0,195.0,1,NewOrderSingle,20231022-11:07:46.236,38624,,,,,,,,
receive,00000058,,,,,,Unknown order id,,NONE,9,20231022-11:07:46.398,59.0,8,,00000026,,
send,00000117,1,AAPL,5666.0,164.0,1,NewOrderSingle,20231022-11:07:46.238,38625,,,,,,,,
receive,00000059,,,,,,Unlucky,,,8,20231022-11:07:46.398,60.0,8,8,,,
send,00000118,1,BAC,4176.0,77.0,2,NewOrderSingle,20231022-11:07:46.239,38626,,,,,,,,
receive,00000060,2,BAC,7006.0,0.0,1,,,38572,8,20231022-11:07:46.399,61.0,0,0,,,
send,00000119,3,MSFT,998.0,301.0,1,NewOrderSingle,20231022-11:07:46.241,38627,,,,,,,,
receive,00000061,,,,,,Unlucky,,,8,20231022-11:07:46.399,62.0,8,8,,,
send,00000120,2,BAC,4590.0,2.0,1,NewOrderSingle,20231022-11:07:46.242,38628,,,,,,,,
receive,00000062,3,MSFT,8044.0,0.0,1,,,38574,8,20231022-11:07:46.409,63.0,0,0,,,
send,00000121,3,MSFT,,,,OrderCancelRequest,20231022-11:07:46.241,,,,,,,00000119,,
receive,00000063,3,BAC,3088.0,50.0,2,,,38575,8,20231022-11:07:46.409,64.0,0,0,,,
send,00000122,1,MSFT,4293.0,268.0,2,NewOrderSingle,20231022-11:07:46.245,38629,,,,,,,,
receive,00000064,,,,,,Unknown order id,,NONE,9,20231022-11:07:46.409,65.0,8,,00000005,,
send,00000123,1,BAC,3000.0,21.0,1,NewOrderSingle,20231022-11:07:46.247,38630,,,,,,,,
receive,00000065,2,BAC,2302.0,0.0,1,,,38576,8,20231022-11:07:46.410,66.0,0,0,,,
send,00000124,3,BAC,1439.0,54.0,2,NewOrderSingle,20231022-11:07:46.249,38631,,,,,,,,
send,00000125,1,BAC,,,,OrderCancelRequest,20231022-11:07:46.115,38533,,,,,,00000018,,
receive,00000066,1,MSFT,6124.0,0.0,1,,,38577,8,20231022-11:07:46.410,67.0,0,0,,,
receive,00000067,1,BAC,8952.0,0.0,1,,,38578,8,20231022-11:07:46.410,68.0,0,0,,,
receive,00000068,1,BAC,9306.0,30.0,2,,,38579,8,20231022-11:07:46.410,69.0,0,0,,,
send,00000126,1,MSFT,1588.0,241.0,2,NewOrderSingle,20231022-11:07:46.252,38632,,,,,,,,
send,00000127,2,BAC,2534.0,13.0,1,NewOrderSingle,20231022-11:07:46.255,38633,,,,,,,,
receive,00000069,1,MSFT,413.0,175.0,2,,,38580,8,20231022-11:07:46.421,70.0,0,0,,,
send,00000128,3,MSFT,6249.0,208.0,2,NewOrderSingle,20231022-11:07:46.256,38634,,,,,,,,
receive,00000070,,,,,,Unlucky,,,8,20231022-11:07:46.421,71.0,8,8,,,
send,00000129,3,AAPL,6350.0,197.0,2,NewOrderSingle,20231022-11:07:46.257,38635,,,,,,,,
send,00000130,2,BAC,7679.0,82.0,2,NewOrderSingle,20231022-11:07:46.259,38636,,,,,,,,
receive,00000071,2,BAC,6840.0,0.0,1,,,38582,8,20231022-11:07:46.422,72.0,0,0,,,
send,00000131,1,BAC,7164.0,14.0,1,NewOrderSingle,20231022-11:07:46.260,38637,,,,,,,,
receive,00000072,3,AAPL,2700.0,231.0,2,,,38583,8,20231022-11:07:46.422,73.0,0,0,,,
send,00000132,3,BAC,786.0,99.0,2,NewOrderSingle,20231022-11:07:46.262,38638,,,,,,,,
receive,00000073,1,MSFT,9972.0,273.0,2,,,38584,8,20231022-11:07:46.423,74.0,0,0,,,
send,00000133,2,AAPL,513.0,154.0,1,NewOrderSingle,20231022-11:07:46.263,,,,,,,,,
send,00000134,1,MSFT,7110.0,300.0,2,NewOrderSingle,20231022-11:07:46.265,38640,,,,,,,,
receive,00000074,,,,,,Unlucky,,,8,20231022-11:07:46.423,75.0,8,8,,,
send,00000135,2,AAPL,1298.0,243.0,1,NewOrderSingle,20231022-11:07:46.267,38641,,,,,,,,
receive,00000075,2,BAC,6586.0,76.0,2,,,38586,8,20231022-11:07:46.431,76.0,0,0,,,
send,00000136,1,AAPL,6814.0,178.0,2,NewOrderSingle,20231022-11:07:46.268,38642,,,,,,,,
receive,00000076,3,AAPL,1972.0,0.0,1,,,38587,8,20231022-11:07:46.431,77.0,0,0,,,
send,00000137,3,AAPL,5497.0,178.0,2,NewOrderSingle,20231022-11:07:46.269,38643,,,,,,,,
receive,00000077,1,MSFT,1871.0,0.0,1,,,38588,8,20231022-11:07:46.431,78.0,0,0,,,
send,00000138,1,AAPL,9488.0,158.0,1,NewOrderSingle,20231022-11:07:46.272,38644,,,,,,,,
receive,00000078,1,AAPL,9297.0,178.0,2,,,38589,8,20231022-11:07:46.432,79.0,0,0,,,
send,00000139,3,AAPL,501.0,212.0,1,NewOrderSingle,20231022-11:07:46.273,38645,,,,,,,,
receive,00000079,1,AAPL,8508.0,275.0,2,,,38590,8,20231022-11:07:46.432,80.0,0,0,,,
send,00000140,1,BAC,8856.0,46.0,2,NewOrderSingle,20231022-11:07:46.275,38646,,,,,,,,
receive,00000080,1,MSFT,1813.0,349.0,2,,,38591,8,20231022-11:07:46.432,81.0,0,0,,,
send,00000141,2,AAPL,6262.0,274.0,2,NewOrderSingle,20231022-11:07:46.276,38647,,,,,,,,
receive,00000081,2,AAPL,9092.0,0.0,1,,,38592,8,20231022-11:07:46.443,82.0,0,0,,,
send,00000142,3,AAPL,3875.0,209.0,1,NewOrderSingle,20231022-11:07:46.278,38648,,,,,,,,
receive,00000082,2,MSFT,728.0,212.0,2,,,38593,8,20231022-11:07:46.443,83.0,0,0,,,
send,00000143,2,MSFT,8631.0,286.0,1,NewOrderSingle,20231022-11:07:46.280,38649,,,,,,,,
send,00000144,2,BAC,5832.0,43.0,2,NewOrderSingle,20231022-11:07:46.282,38650,,,,,,,,
receive,00000083,2,AAPL,8382.0,0.0,1,,,38594,8,20231022-11:07:46.444,84.0,0,0,,,
send,00000145,2,MSFT,1521.0,257.0,1,NewOrderSingle,20231022-11:07:46.283,38651,,,,,,,,
receive,00000084,1,MSFT,3450.0,0.0,1,,,38595,8,20231022-11:07:46.444,85.0,0,0,,,
send,00000146,2,AAPL,2875.0,228.0,1,NewOrderSingle,20231022-11:07:46.284,38652,,,,,,,,
receive,00000085,,,,,,Unlucky,,,8,20231022-11:07:46.445,86.0,8,8,,,
receive,00000086,3,MSFT,1848.0,0.0,1,,,38597,8,20231022-11:07:46.451,87.0,0,0,,,
send,00000147,2,AAPL,6560.0,232.0,2,NewOrderSingle,20231022-11:07:46.286,38653,,,,,,,,
receive,00000087,,,,,,Unknown order id,,NONE,9,20231022-11:07:46.452,88.0,8,,00000062,,
send,00000148,2,BAC,9032.0,7.0,2,NewOrderSingle,20231022-11:07:46.287,38654,,,,,,,,
receive,00000088,2,BAC,9375.0,0.0,1,,,38598,8,20231022-11:07:46.452,89.0,0,0,,,
send,00000149,1,MSFT,7077.0,174.0,2,NewOrderSingle,20231022-11:07:46.290,38655,,,,,,,,
receive,00000089,2,AAPL,6558.0,107.0,2,,,38599,8,20231022-11:07:46.453,90.0,0,0,,,
send,00000150,2,BAC,731.0,31.0,1,NewOrderSingle,20231022-11:07:46.291,38656,,,,,,,,
receive,00000090,1,AAPL,4409.0,0.0,1,,,38600,8,20231022-11:07:46.453,91.0,0,0,,,
receive,00000091,2,AAPL,6164.0,223.0,2,,,38601,8,20231022-11:07:46.454,92.0,0,0,,,
send,00000151,2,AAPL,2604.0,177.0,1,NewOrderSingle,20231022-11:07:46.293,38657,,,,,,,,
receive,00000092,1,MSFT,7823.0,0.0,1,,,38602,8,20231022-11:07:46.454,93.0,0,0,,,
send,00000152,1,AAPL,1003.0,294.0,1,NewOrderSingle,20231022-11:07:46.296,38658,,,,,,,,
receive,00000093,2,AAPL,7135.0,173.0,2,,,38603,8,20231022-11:07:46.455,94.0,0,0,,,
send,00000153,3,MSFT,5186.0,223.0,2,NewOrderSingle,20231022-11:07:46.298,38659,,,,,,,,
receive,00000094,3,MSFT,5348.0,0.0,1,,,38604,8,20231022-11:07:46.464,95.0,0,0,,,
send,00000154,3,MSFT,9971.0,373.0,1,NewOrderSingle,20231022-11:07:46.300,38660,,,,,,,,
send,00000155,3,MSFT,3573.0,391.0,1,NewOrderSingle,20231022-11:07:46.302,38661,,,,,,,,
receive,00000095,1,MSFT,3847.0,326.0,2,,,38605,8,20231022-11:07:46.464,96.0,0,0,,,
send,00000156,3,BAC,6300.0,23.0,2,NewOrderSingle,20231022-11:07:46.303,38662,,,,,,,,
receive,00000096,1,BAC,5161.0,0.0,1,,,38606,8,20231022-11:07:46.464,97.0,0,0,,,
send,00000157,3,AAPL,7174.0,268.0,1,NewOrderSingle,20231022-11:07:46.304,38663,,,,,,,,
receive,00000097,2,BAC,7310.0,0.0,1,,,38607,8,20231022-11:07:46.465,98.0,0,0,,,
send,00000158,1,MSFT,8834.0,243.0,1,NewOrderSingle,20231022-11:07:46.306,38664,,,,,,,,
receive,00000098,1,MSFT,2837.0,301.0,2,,,38608,8,20231022-11:07:46.465,99.0,0,0,,,
